id,correctAgg,answered,isError,playCount,resetCount,compTime,gender,education,age,vision_deficiency,vision_impairment_description,familiarity-average,familiarity-average-description,familiarity-interquartile-range,familiarity-interquartile-range-description,familiarity-median,familiarity-median-description,familiarity-standard-deviation,familiarity-standard-deviation-description,familiarity-agg-score,familiarity-stat-tool,familiarity-view-chart,familiarity-create-chart,userID,treatment
18,sum,sum,FALSE,1,0,5106,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
19,avg,median,TRUE,4,3,22646,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
2,iqr,iqr,FALSE,1,0,11596,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
20,iqr,iqr,FALSE,1,0,5235,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
21,stdev,stdev,FALSE,1,0,4801,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
22,min,min,FALSE,2,1,8988,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
23,median,median,FALSE,5,4,18399,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
24,max,max,FALSE,2,1,6348,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
25,min,min,FALSE,1,0,4115,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
26,median,median,FALSE,6,5,20106,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
27,iqr,iqr,FALSE,1,0,4843,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
28,count,max,TRUE,1,0,4248,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
29,stdev,stdev,FALSE,1,0,5080,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
3,count,count,FALSE,2,1,17330,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
30,avg,median,TRUE,5,4,26083,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
31,sum,sum,FALSE,2,1,7528,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
4,stdev,stdev,FALSE,1,0,6777,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
5,median,median,FALSE,2,1,11604,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
6,avg,avg,FALSE,2,1,13016,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
7,max,max,FALSE,2,1,7187,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
8,median,avg,TRUE,4,3,17091,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
9,count,max,TRUE,1,0,4585,Female,Associate or Bachelors degree,55-64,no,,Know well,It is a number that represents the sum of a group of numbers divided by the number of numbers in the group.,IDK,,Know,It is the middle number of a group of numbers.,IDK,,3,< 1/w,< 1/w,never,028iwxrzCxXGVWZ07D1ZyYc7V7v2,simple
0,max,min,TRUE,1,0,11919,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
1,iqr,max,TRUE,1,0,5561,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
10,max,avg,TRUE,1,0,4937,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
11,count,max,TRUE,1,0,3823,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
12,median,max,TRUE,1,0,4457,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
13,iqr,median,TRUE,1,0,4986,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
14,min,max,TRUE,1,0,3604,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
15,avg,max,TRUE,1,0,4028,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
16,count,max,TRUE,1,0,6699,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
17,min,min,FALSE,1,0,4714,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
18,iqr,max,TRUE,1,0,5195,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
19,stdev,median,TRUE,1,0,4815,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
2,median,max,TRUE,1,0,5692,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
20,sum,max,TRUE,1,0,6818,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
21,median,max,TRUE,1,0,4361,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
22,max,max,FALSE,1,0,6526,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
23,avg,min,TRUE,1,0,3803,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
24,stdev,sum,TRUE,1,0,3960,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
25,sum,min,TRUE,1,0,3725,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
26,count,avg,TRUE,1,0,4510,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
27,iqr,max,TRUE,1,0,3297,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
28,max,min,TRUE,1,1,5172,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
29,avg,avg,FALSE,1,1,8504,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
3,stdev,max,TRUE,1,0,4438,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
30,min,min,FALSE,1,0,5247,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
31,median,max,TRUE,1,0,17255,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
4,count,max,TRUE,1,0,3537,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
5,sum,min,TRUE,1,0,3578,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
6,avg,max,TRUE,1,0,3880,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
7,min,max,TRUE,1,0,9039,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
8,sum,min,TRUE,1,0,4348,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
9,stdev,sum,TRUE,1,0,3560,Male,"Graduate (MS, PhD) or Professional degree",25-34,no,,Know,AVERAGE,Know,INTERQUYARTILE RANGE,Know,MEDIAN,Know,SD,4,>= 1/d,>= 1/d,>= 1/d,12zjrFAWBndTddjdOXyBzQ6X0gx2,baseline
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,min,min,FALSE,1,0,7711,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
1,avg,avg,FALSE,3,2,19876,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
10,stdev,iqr,TRUE,2,1,8386,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
11,min,min,FALSE,2,1,8526,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
12,count,count,FALSE,2,2,14874,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
13,avg,avg,FALSE,2,1,13950,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
14,median,median,FALSE,2,1,20688,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
15,max,max,FALSE,2,1,16529,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
16,avg,avg,FALSE,4,3,18592,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
17,count,count,FALSE,2,2,10945,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
18,stdev,iqr,TRUE,2,1,13619,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
19,median,median,FALSE,2,1,13712,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
2,iqr,stdev,TRUE,2,1,10233,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
20,iqr,iqr,FALSE,3,2,19469,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
21,max,max,FALSE,2,1,7419,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
22,min,min,FALSE,2,1,8815,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
23,sum,sum,FALSE,2,1,10412,Female,High school graduate (or equivalent),35-44,no,,Know well,all the numbers added up and divided by the amount of numbers,IDK,,Know well,the middle number (or the average of the two middle numbers if there is an even set) when the numbers are placed in order,Know,"you minus the average of the set from each number and square it, then get the average of that and take the square root?",5,< 1/m,< 1/m,never,1klEnKm0j6Mr5E1iE7YbEOdrhD62,baseline
