Tags (Positive),Tags (Negatives),Agg,Rank1,Rank2,Rank3,"Rationale (From the left, 1st = Static, 2nd = Baseline, 3rd = Simple, 4th = Elaborate)"
,,median,simple,baseline,elaborate,Transition should show correctly how we count from both sides to get the median.
,Couldn't Follow Complex Animations,median,simple,baseline,elaborate,"What was the least distracting and what made the most sense. It didn't make sense for the median to just appear between them, but the animations of the right-most one were very distracting."
,Couldn't Follow Complex Animations,stdev,simple,baseline,elaborate,"1st because attention is drawn to the average before dots disappear and the standard deviation appears. 2nd because you can see the data and the standard deviation at the same time during the fade. 3rd because showing the difference from the average is confusing when only the differences to the average are transformed into only the higher standard deviation and not both. 4th because it is just a hard transition so we aren't aware that there is any mathematics with the data, it might just be a different graph entirely."
,,stdev,simple,baseline,elaborate,"1st one shows exactly how we get the data value, the middle slice represents the average. 3rd one the transition is too fancy and distracting."
,,stdev,simple,baseline,elaborate,"i like that it shows the first half first, then the next half"
,Couldn't Follow Complex Animations,sum,simple,baseline,elaborate,"4th is because the jump from value to sum is abrupt and doesn't have any clues about the value is jumping to. 3rd is because it feels like there is too much going on. I don't have much of a preference of 1st over 2nd, but even though the motions are similar 1st makes it seem like all the points are being scooped into a new value which makes it seem like it's adding all those values together."
,Embellished Animation Unnecessary,sum,simple,baseline,elaborate,"(1st) I like how summing animation and zoom out on axis was staggered, making it easier to see. 
(2nd) It is kind of hard to see, but points converging and axis moving sententiously gives us a sense that they are being added up.
(3rd) I really dont see they it is necessary to draw lines down to x axis."
,Embellished Animation Unnecessary,sum,simple,baseline,elaborate,adding an auxiliary line is a nice feature to have. but I think the 3rd is a little bit too much for my taste.
,Couldn't Follow Complex Animations,sum,simple,baseline,elaborate,How easy it was to follow what was going on.  The one I ranked third was cool but kinda confusing
,Couldn't Follow Complex Animations,sum,simple,baseline,elaborate,"I like how the graph I picked as first shows the relationship of the data points with the sum. The 2nd graph also does this, but to a lesser degree. The additional transitions in the 3rd graph were jarring, but still got the point across. The 4th graph was too much of a leap and took longer to adjust to the changes."
,,sum,simple,baseline,elaborate,"I like the lines in the 1st one, helped me follow along and see what data the point corresponded to. The animation also helped me understand we were adding things together."
,,sum,simple,baseline,elaborate,Knowing that the numbers were aggregated together when finding the two final points.
,,sum,simple,baseline,elaborate,Showing the relative position to the bottom axis and then adding all of them together
,Couldn't Follow Complex Animations,sum,simple,baseline,elaborate,"The gathering of dots was helpful.  The one where they went diagonal was confusing, but still better than the static one"
,,sum,simple,baseline,elaborate,there isn't too much information (last one has too many lines that threw me off)
,,avg,simple,baseline,static,I really liked the showing the average and then how the points converge to that
,,avg,simple,baseline,static,"Showing the dots slide into the average is helpful, you can see the average before the transition is over"
,Couldn't Follow Complex Animations,count,simple,baseline,static,How easy it was to follow what was going on
,Couldn't Follow Complex Animations,max,simple,baseline,static,1st is best since it tells the user to focus on the max before the other data points fade. 2nd is the same as 1st without the focus. 3rd is simply too abrupt to track on first try.
,,max,simple,baseline,static,"1st: best as it fades out unnecessary points, with a tick mark to show significance/importance of that particular point.
2nd: fading out points
3rd: no animation, hard to figure out what happened"
,Animation Should Be Slower,max,simple,baseline,static,"3rd is still abrupt and while it's easy tell the maxes of these two sets, if the points were more clumped together it might be difficult to see immediately that they are the maxes. 2nd is better because the other points fade out, giving the audience time to determine that those two points are the largest in their respective sets. 1st is the best because it clearly marks the max before the other points fade."
,,max,simple,baseline,static,"A transition is helpful to know nothing is just randomly being taken out, and the line specifies its a value to pay attention to, not just the last point."
Clear Metaphor,,max,simple,baseline,static,"All pretty clear, but having the line through emphasizes it better"
Clear Metaphor,,max,simple,baseline,static,Clear selection of top value by using a thick line while all points were visible
Clear Metaphor,,max,simple,baseline,static,extra lines can really help me with understanding things like this
Clear Metaphor,,max,simple,baseline,static,Having the lines go through the dots first made it quicker for me to realize what was going to be highlighted.
Clear Metaphor,,max,simple,baseline,static,I chose #1 because the line through the top points made me think those points were significant and demonstrated that every other point was below those with the lines. I did not think #2 and #3 were that different in terms of communicating maximum but I liked the animation on #2 more.
Clear Metaphor,,max,simple,baseline,static,I chose the 1st because it has a line that underlines the maximum and convey to audience that we are looking at the maximum value. 2nd one is similar but did not have the line. 3rd one did not have any transitio.
Clear Metaphor,,max,simple,baseline,static,"I chose the third transition as first as it showcased a line through the maximum points before erasing that line and all lower points from the set, describing what the maximum is the best. The  second transition is only second because it does not add in that information, but it does erase lower points in the set. The first transition is static, so no animations are shown and it describes the maximum the least."
,,max,simple,baseline,static,"I don't really know but feels like it okay, I believe."
,Animation Should Be Slower,max,simple,baseline,static,I just didn't like how abrupt my 3rd choice was.
,,max,simple,baseline,static,"I like that the one I ranked as 1st brings attention to the top value before fading out the lower ones. The one ranked 2nd still faded them out, which I thought looked nicer than just removing the lower points."
,,max,simple,baseline,static,I like the first 1 the most is that it marked the maximum before other data points disappear. For 2nd and 3rd I simply think has transition is better than not having one.
,,max,simple,baseline,static,I liked how 1st brought your attention to what was the max then showed getting rid of the remaining.
Clear Metaphor,,max,simple,baseline,static,"It clearly selects the maximums, so it is easy to visualize"
,,max,simple,baseline,static,Line is a nice gridmark. Lack of animation is tough
,,max,simple,baseline,static,Marking the max as in 1 helps to notice the dots as relative to the other dots before the other dots disappear. The 2nd is better at maintaining the non max dots a little longer for comparison than 1.
,,max,simple,baseline,static,marks the points so easier to see it's choosing the top values before fading
Understandable,,max,simple,baseline,static,More visual aid in the 1st visualization made it more easy to understand
,,max,simple,baseline,static,The animation draws attention to the points of interest before fading out the others.
,,max,simple,baseline,static,The emphasis on the highest data point with a short line.
,,max,simple,baseline,static,"The first two are either two slow or doesn't show enough, the last one has a good feel to it"
,,max,simple,baseline,static,The line displayed made me pay attention to the points. You could clearly tell the points were data points already in the set.
,,max,simple,baseline,static,the line draws attention to the max so its easier to see
,,max,simple,baseline,static,The line rather than just the transition made the focus on the top element more obvious
Clear Metaphor,,max,simple,baseline,static,"The lines on the transition marked as first give the sense that the line is the maximum of the set,  a sense neither of the other transitions convey well."
,,max,simple,baseline,static,The marking lines on the max values was clear. The fading away of the other values was also nice.
,,max,simple,baseline,static,"The same reason, I love the smooth transition which makes data more easier to visualize"
,,max,simple,baseline,static,The third graphic is slightly more emphatic about choosing the highest value than the second is.
,,max,simple,baseline,static,"They're all about the same, coherence-wise. I just liked the smooth animation in the first place one better than the second, and the second better than no animation at all."
,,max,simple,baseline,static,Using the marker helps draw the eye to the max in the original graph.
,,max,simple,baseline,static,"Your eye is drawn to the top values, and then the other values fade out, to show that they do not matter for this calculation"
,Annoying,median,simple,baseline,static,"I liked how it showed removing from the top and bottom, but doing it one by one was kind of annoying to watch and distracting"
,,min,simple,baseline,static,"Again, seeing the line while we could see all the points was helpful for reference."
,,min,simple,baseline,static,"As with the maximum ranking, the line on the transition marked first gives the sense that the data goes no lower than the line, and neither of the other transitions convey this sense well."
Clear Metaphor,,min,simple,baseline,static,"For the same reasons as maximum, the line showing up in the ""First"" animation is nice to be clear about what data point we're talking about, the animation on the 1st and second place ones are nice, and the lack of animation on the third one still works but is less pretty."
,,min,simple,baseline,static,"Highlighting the minimum before the animation helps us know to focus on that before the other points disappear
"
,,min,simple,baseline,static,I like 1st one the most because it marked minimum before other data points disappears. For 2nd and 3rd I simply think have animation is better than not having one.
,,min,simple,baseline,static,I liked 1st because it drew your attention to the minimum then removed the remaining ones
,,min,simple,baseline,static,"I liked the line for my first choice, made it clear what I should look at."
,,min,simple,baseline,static,"I ranked these the same way as maximum, and for the same reasons. The fading is less abrupt, and the top ranked one brings attention to the minimum before removing the other values."
,,min,simple,baseline,static,"It's hard to see what to pay attention to when it's near the bottom, so the lines were helpful."
,,min,simple,baseline,static,"Like for max, transition needed to show points removed for reason, line emphasizes the value."
,,min,simple,baseline,static,"Line is a nice gridmark. Animation is nice, but too slow is weird"
,,min,simple,baseline,static,marks the bottom points so easier to tell what stays before fading
Clear Metaphor,,min,simple,baseline,static,My choices for this were pretty much for the same reasons as with maximum. I like the line because it highlights the specific points and shows that every other point is above the one with the line. I like the animation on #2 more than #3 but I don't think one is significantly more communicative than the other.
,,min,simple,baseline,static,"Now I see why adding a line to demarcate the point may be important, since there is some clustering happening at the bottom."
,,min,simple,baseline,static,"Same as before, how appealing and how it shows the work done."
,,min,simple,baseline,static,Same as maximum -- the line going through the bottom made it quicker to decipher what was going on.
,,min,simple,baseline,static,"Same as maximum, your eye is drawn to the bottommost points before the others fade out"
,,min,simple,baseline,static,"same as previous: 
fading points out helps, as well as extra tick mark."
,,min,simple,baseline,static,same as the last one that i wrote the answer for
,,min,simple,baseline,static,"Same reason as maximum but the fade is definitely way better than the immediate transition. As a user, I would like to make sure that the points were in the data set and the transition was just a filter."
,,min,simple,baseline,static,Same reasons as given in the explanations for ranking maximum.
,,min,simple,baseline,static,"Same thing as maximum, line through it highlights minimum bette"
,,min,simple,baseline,static,"same with  max, i like extra lines when it comes to max and min"
,,min,simple,baseline,static,Showing the min of the original graph helps draw the eye to the min.
,,min,simple,baseline,static,Similar to max. It's nice to be able to compare the min dots to the non min dots before the other dots disappear. The 1st one does this better than the 2nd one by marking it explicitly.
,,min,simple,baseline,static,"Similar to the maximum transitions, I chose the ranking in this order because of the same reasons. I like the line underlining the minimum because it shows clearly that we are looking at the minimum"
,,min,simple,baseline,static,The emphasis on the lowest data point with a short line.
,,min,simple,baseline,static,"The horizontal, marking lines draws your attention to which values will stay around."
,,min,simple,baseline,static,"the line draws attention to the min, so its easier to see. also faster fade"
,,min,simple,baseline,static,The reasoning is the same as for the previous graphs for maximum.
,,min,simple,baseline,static,The same reason as the previous one for the same visual aid
Clear Metaphor,,min,simple,baseline,static,The same reason as the previous question. It just came more intuitive to me.
,,min,simple,baseline,static,"The same reason, the last one gives more smooth transition and animation compared to the first two."
Clear Metaphor,,min,simple,baseline,static,The third graphic is the most emphatic about selecting the minimum.
Clear Metaphor,,min,simple,baseline,static,"The third transition is the best because it showed a line through the minimum of the sets before deleting all higher points and the line, thus showcasing the best which element is the minimum and why. The second transition does not use the line at all and only eliminates higher elements than the minimum in the animation, which is why it is only second. The first transition is last due to no animations being used, therefore it does not do anything into aiding why what is shown is the minimum."
,Animation Should Be Slower,min,simple,baseline,static,"The transitions can be too fast, the one that selects it catches your eye."
,,min,simple,baseline,static,Whether it clearly marks the remaining element is the smallest within each set
,,stdev,simple,baseline,static,"I like this one the most, but didn't really like that the upper and lower sd were shown separately"
,,stdev,simple,baseline,static,I liked a slow transition for this one because theres a lot that goes into it and being able to keep track of what the line represented in addition to the standard deviation was helpful
,Animation Should Be Slower,avg,simple,elaborate,baseline,"1st is my favorite as the middle line shows the average before merging the data points. 2nd is actually a bit confusing in my opinion, though I still understand what it's trying to convey. 3rd seems a bit like a sum operation instead. 4th is simply too abrupt to catch."
,,avg,simple,elaborate,baseline,"I like the simplicity of the one I ranked first, while it is clear that the average might not land on a direct point"
,,avg,simple,elaborate,baseline,"I liked identifying what the average was then the collapse, the 2nd one and 1st were pretty tied, 2nd just didn't seem to add much for me with the extra animation."
,Metaphor Unclear,avg,simple,elaborate,baseline,"I see what you were going for with the bars, but it's not very explicit. Maybe if the bars flipped over the center divider and canceled each other out."
,Embellished Animation unnecessary,avg,simple,elaborate,baseline,I think the lines on the 2nd place one make it too busy for this one. For the first one it's helpful to see the line appear before to know that it's average and not median since it isn't going through a dot or exactly between two dots
,,avg,simple,elaborate,baseline,"In this case I did like the horizontal lines at the mean, as it isn't necessarily an existing point. The version showing deviation from the mean was nice as well."
,,avg,simple,elaborate,baseline,It’s nice to see where the average will be before dots start moving
,,avg,simple,elaborate,baseline,The 1st and 2nd ranked charts give a clear frame of reference for the average and how the points contribute to it. The bars beneath the dots in the 2nd ranked chart seem like a bit too much information though. Both the 3rd and 4th ranked charts don't give a clear indication that the resulting points are actually the location of the average.
Clear Metaphor,,avg,simple,elaborate,baseline,the animation of the 3rd and 4th chart makes the transition of average much clearer.
,,avg,simple,elaborate,baseline,"The horizontal lines that were drawn show that it is average for me, since they dont align with a dot it seems more like an average"
,Animation Should Be Slower,avg,simple,elaborate,baseline,The line for the one I ranked first was straightforward. The one ranked 3rd took a bit too long and the one I ranked second had the line but the bar graph was a bit distracting
Clear Metaphor,Animation Should Be Faster,count,simple,elaborate,baseline,"1st and 2nd could be interchangeable since I don't prefer one over the other. 4th is because the jump from values to counts is abrupt and also unclear. 3rd is because is it also somewhat unclear - without the numbers on the side, it could easily have been average or median. 1st and 2nd lay out all the dots in a line so it's more clear that it's the count."
Clear Metaphor,,count,simple,elaborate,baseline,1st and 2nd were higher than 3rd and 4th because we can see the number of dots lined up nicely making it obvious there was a count. I liked 1st more than 2nd because of the smoother transition. 3rd was higher than 4th because there seems some correlation between first and second graph while in the 4th I wouldn't be able to tell the two charts related if I didn't know they were related already
Clear Metaphor,,count,simple,elaborate,baseline,"1st and second were close, they both described it in an intuitive manner, i just preferred the one i labeled 1st's transition for aesthetic purposes. 3rd is somewhat vague when they combined, but the value that they transition to lends itself to being a count if you had an idea of how many elements there were to begin with. The 4th simply showed no correlation between previous elements and the numbers that it ends up with, so you would have to have an idea of what you were looking for or the counts beforehand to know what you're looking at."
,,count,simple,elaborate,baseline,"1st one shows that they are uniformly counted. However, 3rd and 4th did not have a clear transition which could be confusing."
,,count,simple,elaborate,baseline,"#1 ranked chart showed the transition from individual data points to count in a quick and smooth animation. Each of the other charts were worse due to either jittery transitions, slow transitions, or no apparent animation (ranked in that order from 2nd to 4th)."
,,count,simple,elaborate,baseline,"Animation is important feature. 1st and 2nd both animate the data points two be having the same value so that it's easier to count them. 1st has smoother animation so I like it the best. 3rd it's harder to tell since data points collapse, and 4th has no animation so I don't like it."
Clear Metaphor,,count,simple,elaborate,baseline,"Chose the #1 and #2 because they were clearly showing the number of points spaced evenly (because they all count as one value). I chose #1 over #2 because I liked the smoothness of the transition better. I thought #3 had nice animation but it didn't show each point evenly spaced before grouping them into one point, which is what made #1 and #2 clearly a count. #4 did not have any animation so I just had to guess what it was showing."
Clear Metaphor,,count,simple,elaborate,baseline,"Easy to see how each point contributes to the corresponding y axis value, and see they all count for 1 (their own count)."
,,count,simple,elaborate,baseline,elucidating how the same features of one graph turn into another (smoother transitions are better)
,,count,simple,elaborate,baseline,For the transitions I ranked 1 and 2 it was much easier to follow the dots to see that count was being calculated
,,count,simple,elaborate,baseline,How well I could see that all the points were accounted for. The static one was too fast.
,,count,simple,elaborate,baseline,how well the change vertical scale corresponded to where the points on the chart were.
Clear Metaphor,,count,simple,elaborate,baseline,"i like how points were moved to be stacked at equal distance before final point for count was selected, as it gives us visual sense of count, regardless of their actual values"
,,count,simple,elaborate,baseline,"I like the smoothness of #1 and #2. #1 is slightly better because it's more fluid and I can keep track of it easier.
I don't like #4- the instant movement is too hard to keep track of.
#3 makes me thing of a sum rather than count"
,,count,simple,elaborate,baseline,"I liked how the count divided them into even stacking, which helped imply counting, then the reveal showed a nice change for the axis"
,,count,simple,elaborate,baseline,I liked how the line up of data points emphasized the count.
,,count,simple,elaborate,baseline,I liked that you could clearly count the number of dots from the animation
,,count,simple,elaborate,baseline,"I liked when it lined up all the dots, and my first choice was smoother"
,Couldn't Follow Complex Animations,count,simple,elaborate,baseline,Leftmost transition was too abrupt. Second from left was smooth but difficult to understand what was going on when dots collapsed at once. Third from left was less staggered than rightmost which had a bit too many transitions that felt distracting
,,count,simple,elaborate,baseline,Seeing the dots lined up evenly spaced shows how many there are
,,count,simple,elaborate,baseline,"smooth animation that doesn't make me question what is happening at first. (first one theres no animation, second looks like points combine)"
,Couldn't Follow Complex Animations,count,simple,elaborate,baseline,Smooth transition evokes bar charts and an actual counting of the dots. Staged animation is confusing when all the dots look the same and move along the same line.
,,count,simple,elaborate,baseline,The animation felt smoother and was slow enough that i could track it with my eyes
,,count,simple,elaborate,baseline,"The dots simply rearranged without overlapping each other, and simply numbered each one."
,,count,simple,elaborate,baseline,"The effectiveness of the animations or lack of one. For e.g., in the third and fourth one, the equal spacing between the data points really helped."
,,count,simple,elaborate,baseline,The fact that it showed them stacked up uniformly in a smooth transition
,,count,simple,elaborate,baseline,"The feature that led me to this order was first the animation displaying the change, and then the animation to first showcase each individual point in the graph before collapsing them in a smooth transition. The third transition had all of this, so it came in first. The last transition came in second because it displayed the points, but moved them in a jarring way that wasn't pleasant to see. The second transition had animations, but didn't make it clear how many points there were, it just collapsed them. The first transition was just a static change, which didn't describe the count nearly as well as the others, which is why it is last."
,,count,simple,elaborate,baseline,"The most obvious feature was the laying out of the values along the axis, followed by selecting the highest value.  The third transition did this most smoothly, followed by the fourth and then the second.  The first did not at all."
,,count,simple,elaborate,baseline,The ones with smoothness and continuity made it easier to track the dots
,,count,simple,elaborate,baseline,The speed at which things are moving is very  important
,,count,simple,elaborate,baseline,The standardizing of the size between the dots makes it easier to see what the total count is.
,,count,simple,elaborate,baseline,The tick marks and the slow transition to show how many data points there are spread out evenly is nice.
,,count,simple,elaborate,baseline,"The transition between raw numbers and count should take a little time, so the ones with animation time are ranked highest."
Clear Metaphor,,count,simple,elaborate,baseline,The two transitions that show the data points equally spaced out make it really easy to see that the final y-value is the number of points. The two that skip that are less intuitive.
,,count,simple,elaborate,baseline,Whether the animation appeared to be counting the elements or not.
Understandable,,iqr,simple,elaborate,baseline,"1st because it is clear how the interquartile ranges are determined mathematically with the data points and then transitions. 2nd for the same reason as 1st, except that the transitions are quite jarring and violent. 3rd because you can see the data points and range at the same time during the fade. 4th because it is just a hard transition so we aren't aware that there is any mathematics with the data, it might just be a different graph entirely."
,,iqr,simple,elaborate,baseline,"1st) splits the dataset into quarters, then identifies the quartile marks and shows a transition to the range.
2nd) same as first, but extra clutter
3rd) unclear that it's not standard deviation without knowing that the upper and bottom side had to be equal lengths
4th) no correlation without inference/description"
,Embellished animation unnecessary,iqr,simple,elaborate,baseline,"Again, I thought the 2nd place one added too much animation without it being helpful. 1st place shows the dots in their respective quartile ranges but doesnt try to get fancy beyond that"
Clear Metaphor,,iqr,simple,elaborate,baseline,"Breaking the animation up into the quartiles really makes this transition clear
"
,,iqr,simple,elaborate,baseline,"Having colored dots for each quartile is very helpful, no need to have the drop down effect"
,Animation Should Be Slower,iqr,simple,elaborate,baseline,I appreciate the colorings to partition the quartiles but the rightmost one is too slow.
,Measure Was Too Confusing,iqr,simple,elaborate,baseline,I don't know what is interquartile Range with Median but I like the third one more
,Measure Was Too Confusing,iqr,simple,elaborate,baseline,I don't understand this term but I think that the animation helped me understand what it is trying to convey
,Animation Should Be Faster,iqr,simple,elaborate,baseline,"I liked the splitting by colors and having a longer pause to process what was happening compared to 2nd, it just was constant movement and made the transition a little more confusing."
Understandable,Measure Was Too Confusing,iqr,simple,elaborate,baseline,"I prefer the first because as someone who doesn't exactly know what an ""interquartile range"" was, I got to see the animation of how it's calculated. The 2nd one had too much animation concerning the colored data points so it was harder to follow"
Understandable,Measure Was Too Confusing,iqr,simple,elaborate,baseline,"I wasn't that sure what interquartile range is, but I think the one ranked 1st really explained it to me. The one I ranked second is too busy (not sure why all the dots needed to pop out...) . The 3rd just had a fading transition which didn't help me at all, and the 4th had no transition which makes me think that the before and after are not that related."
,,iqr,simple,elaborate,baseline,It is really helpful for them to split vertically so I can see that this is centered on the median
,,iqr,simple,elaborate,baseline,It is very important to show the different quartiles on the points as different colors.  I don't feel counting out each point in the quartiles adds anything to the visualization except add unnecessary motion to distract the viewer from the data.
,Measure Was Too Confusing,iqr,simple,elaborate,baseline,"No animation is bad
1st and second are prettier, but I don't really understand the concept of interquartile range, so they all don't make much of a difference to me. The colors in 1st and second help me slightly understand the concept."
,,iqr,simple,elaborate,baseline,"once again, animation on 2nd rank plot is little too extra. 1st ranked animation is simply enough to show that there are equal number of points in all 4 segments"
,,iqr,simple,elaborate,baseline,"Same logic as my median choices: 1st vs 2nd is close, but the animation still detracts a bit in my opinion. 3rd vs 4th, the animation helps a bit, but it's still hard to distinguish this from what could potentially be a mean + std dev animation."
,,iqr,simple,elaborate,baseline,Seeing precisely which points fit into which quartile was great. Seeing them classified simultaneously was better than two at a time.
,,iqr,simple,elaborate,baseline,"Seeing the dots split up into their quartiles before marking the average and interquartiles is helpful. The top rated chart shows this effectively, while the second rated chart does it a little more oddly due to the distribution of the data and how points are added to a quartile."
Understandable,,iqr,simple,elaborate,baseline,Showing how the data is separated into the quartiles helps visually show the interquartile range with median.
,,iqr,simple,elaborate,baseline,"Similar to reasoning for the median one, the 1st ranked was the most straightforward"
,,iqr,simple,elaborate,baseline,Similar to the previous problem. I liked seeing the different colors for the first one and the relationship between all the transitions. I also liked #2 but wasn't sure what the dots moving represented. 3 and four were too fast for me to understand.
,Measure Was Too Confusing,iqr,simple,elaborate,baseline,sorry that I don't know about interquartile range with median
,,iqr,simple,elaborate,baseline,Splitting the dots into four groups and then grouping then together to find the middle point
,,iqr,simple,elaborate,baseline,"The 3rd one is enough to convey the the information, and that is why I ranked it on the top. The 4th one does as good a job as the 3rd one. I think the 2nd one is pretty effective too."
Clear metaphor,,iqr,simple,elaborate,baseline,The 4 colors made it really easy to understand that it was splitting it into 4 quarters
Clear metaphor,,iqr,simple,elaborate,baseline,The colors make it clear that we are splitting the data into four parts. The simpler animations still are helpful over more complicated ones.
,,iqr,simple,elaborate,baseline,The colors were very helpful in seeing why the bars line up with certain data points.
,,iqr,simple,elaborate,baseline,The division of dots into 4 sections helped indicate the the operation and that the median was being taken.
,Embellished animation unnecessary,iqr,simple,elaborate,baseline,The extra motion in the 2nd place one doesn't help me understand the data any better - just seems like extra motion
,Embellished animation unnecessary,iqr,simple,elaborate,baseline,"The fourth one had too much movement in addition to a lot of color, so it was confusing"
,,iqr,simple,elaborate,baseline,"The third transition came in first because it highlighted different points into different sub-categories, showed the respective values for the plot, and then had a good transition for it which aided in describe interquartile range with median. The last transition came in second because it unnecessarily highlighted the different points in steps rather than all at once, which I thought wasn't necessary, so it became second. The second transition just had the plot show up again with no real prompt or information given unlike the third and last transitions, so it is third place. The first transition had no animation to aid with describing Interquartile Range with Median, so it comes in last."
,,iqr,simple,elaborate,baseline,"The top one left the points in place long enough to see how they were grouped. The 2nd ranked one did the same thing in a more complicated way. The 3rd one didn't group the points by color, which made it a little less clear, and the 4th one was too abrupt."
,,iqr,simple,elaborate,baseline,What wasn't distracting and made sense for the transition. The partition of the dots were very helpful to group things together.
