rationale_id,agg,rank-elaborate,rank-simple,rank-baseline,rank-static,rationale,about elaborate,about simple,about baseline,about static,Overall,posTag,negTag
29,iqr,3,1,2,4,"1st is simple, like in the median example. 2nd is also simple because often interquartile will line up exactly on a point. 3rd is very fancy looking and again very distracting, although explains the algorithm you might consider pretty well. 4th option is a jump cut and disorienting.",bad:distracting,good:simple,good:simple,bad:abrupt,,,"Couldn't Follow Complex Animations, Extra Complexity Unnecessary"
30,median,2,1,3,4,"While the 1st and 2nd ranked were both easy-to-read transitions, the 1st ranked was less distracting","bad:distracting,  good:easy-to-read",good:easy-to-read,,,,,Couldn't Follow Complex Animations
31,stdev,2,1,3,4,"1st: simple animation with some eyecandy. Better than 2nd because the 2nd is quite distracting - however, it explains the idea of standard deviation moderately well though. 3d is better than 4th because it allows some comparison between data points and the stdev while it's crossfading.","bad:distracting, good:explanation",good:simple,good:keep-points,,,,Couldn't Follow Complex Animations
32,sum,2,3,1,4,The diagonal in the fourth transition added an extra confusing element. The second one was elegant,bad:extra_confusing,,,,,,
33,avg,2,1,3,4,"I see what you were going for with the bars, but it's not very explicit. Maybe if the bars flipped over the center divider and canceled each other out.",bad:extra_distracting,,,,,,Metaphor Unclear
34,avg,4,2,1,3,"Giving the distance of each dot to the mean does not help visualizing the average, while simply merging them to the average feels more natural",bad:extra_distracting,,good:going_to_middle,,,,Metaphor Unclear
35,avg,3,1,2,4,Displaying the average before the transition helps with finding the value but the extra animation in the last transition just makes the animation too cluttered.,bad:extra_distracting,,,,good:avg_line,,Embellished Animation Unnecessary
36,avg,2,1,3,4,"I liked identifying what the average was then the collapse, the 2nd one and 1st were pretty tied, 2nd just didn't seem to add much for me with the extra animation.",bad:extra_distracting,good:avg_line,,,,,
37,avg,3,2,1,4,I liked 1st because all the values go into the middle which imply that we are focusing on the mean and I didn't like the line in 2nd because it feels like they just include the line at a random spot. 3rd transition is too fancy and distracting.,bad:extra_distracting,bad:extra_distracting,good:going_to_middle,,,,Embellished Animation unnecessary
38,avg,3,2,1,4,I prefer the simple animation that just shows the points coming together as if they are being averaged. The extraneous bars and movement are distracting.,bad:extra_distracting,bad:extra_distracting,good:simple,,,,Embellished Animation unnecessary
39,avg,3,2,1,4,"I thought the lines to the middle were confusing & unnecessary, but I liked the transition/moving effect",bad:extra_distracting,bad:extra_distracting,good:going_to_middle,,,,
40,avg,2,1,3,4,The line for the one I ranked first was straightforward. The one ranked 3rd took a bit too long and the one I ranked second had the line but the bar graph was a bit distracting,bad:extra_distracting,good:avg_line,bad:slow,,,,Animation Should Be Slower
41,stdev,2,1,3,4,"I liked showing the average then expanding up and then down, 2nd the extra animation I wasn't sure what to get from the extra lines in the animation so it seemed just extra.",bad:extra_distracting,"good:expanding_one-by-one, good:mark_avg",,,,,
42,iqr,2,1,3,4,The extra motion in the 2nd place one doesn't help me understand the data any better - just seems like extra motion,bad:extra_distracting,,,,,,Embellished animation unnecessary
43,median,2,1,3,4,"I thought the second and first ranked transitions were both good, but the second ranked was a little fast/ had too much going on. The third one was ok, but there is no explanation for why those two dots replaced all the previous dots. The fourth one had no transition so it seemed there was no relationship between the first and second chart.","bad:too_fast, bad:too_much",,bad:hard-to-tell-what-it-is,bad:hard-to-tell-what-it-is,,,Static is Magic
44,sum,3,1,2,4,"I like how the graph I picked as first shows the relationship of the data points with the sum. The 2nd graph also does this, but to a lesser degree. The additional transitions in the 3rd graph were jarring, but still got the point across. The 4th graph was too much of a leap and took longer to adjust to the changes.",bad:jarring,good:relationship_to_sum,,bad:abrupt,,,Couldn't Follow Complex Animations
45,count,2,1,3,4,"The feature that led me to this order was first the animation displaying the change, and then the animation to first showcase each individual point in the graph before collapsing them in a smooth transition. The third transition had all of this, so it came in first. The last transition came in second because it displayed the points, but moved them in a jarring way that wasn't pleasant to see. The second transition had animations, but didn't make it clear how many points there were, it just collapsed them. The first transition was just a static change, which didn't describe the count nearly as well as the others, which is why it is last.",bad:jarring,good:smooth,bad:collapsing-hard-to-understand,bad:not-meaningful,,,
46,median,2,1,3,4,"1st because it is clear that median is what it being measured. 2nd because the transition is a bit jarring and violent. 3rd because it isn't quite clear whether we are measuring median or average immediately. 4th because it is just a hard transition so we aren't aware that there is any mathematics with the data, it might just be a different graph entirely.",bad:jarring,,bad:hard-to-tell-what-it-is,bad:hard-to-tell-what-it-is,,Clear metaphor,
47,iqr,2,1,3,4,"1st because it is clear how the interquartile ranges are determined mathematically with the data points and then transitions. 2nd for the same reason as 1st, except that the transitions are quite jarring and violent. 3rd because you can see the data points and range at the same time during the fade. 4th because it is just a hard transition so we aren't aware that there is any mathematics with the data, it might just be a different graph entirely.",bad:jarring,good:explanation,good:keep-points,bad:no-meaning,,Understandable,
48,count,2,1,3,4,"#1 ranked chart showed the transition from individual data points to count in a quick and smooth animation. Each of the other charts were worse due to either jittery transitions, slow transitions, or no apparent animation (ranked in that order from 2nd to 4th).",bad:jitter,"good:quick, good:smooth",bad:slow,,,,
49,count,2,1,4,3,"My 3rd/4th choices use transitions that would make the user incorrectly associate what count is supposed to mean. Of the 1st/2nd, I preferred the smoother transition because the jerky motion could imply things that aren't part of the data.",bad:jitter,,bad:no-meaning,bad:no-meaning,,,
50,min,1,1,2,3,"It's hard to see what to pay attention to when it's near the bottom, so the lines were helpful.",,,,,"good:extra_line, good:highlight",,
51,max,1,1,2,3,extra lines can really help me with understanding things like this,,,,,good:extra_line,Clear Metaphor,
52,stdev,2,1,3,4,The lines in the second place one are much less obvious to me here - bu the mirroring of the std makes it obvious that it isn't inner quartile range ,bad:lines_less_obvious,good:mirroring,,,,,
53,sum,2,3,1,4,"The one that I ranked 1st was the only one where the value seemed to increase intuitively. Somehow, the lines on the 2nd and 3rd ranked ones made it seem like the overall value was going down, until you look at the scale. The one I ranked 4th didn't help at all - you would have to look at the number values to guess that it was showing a sum.",bad:looks_go_down_until_scale,bad:looks_go_down_until_scale,good:scale_up,,,Clear metaphor,
54,stdev,2,1,3,4,I think the 1st one's animation allowed me to see how the standard deviation was determined and what the average was 2nd one got a little messy with the barred animation,bad:messy,good:mark_avg,,,,,Embellished animation unnecessary
55,min,1,1,2,3,"same with  max, i like extra lines when it comes to max and min",,,,,good:extra_line,,
56,max,2,2,1,3,I like how it faded to get the maximum because I can tell how they got it,,,"good:fade-out, good:looks-like-maximum",,,,
57,min,2,2,1,3,I like how it faded to get the minimum because I can tell if it is right,,,good:fade-out,,,Clear metaphor,
58,max,1,1,3,2,The second one was really slow where the others were fast and clear,,,bad:slow,,,,
59,sum,4,3,1,2,"Again, the fancy transitions for my 3rd and 4th pick made it feel like I wasn't looking at a transition for Sum.",bad:not-looks-like-summing,bad:not-looks-like-summing,,,,,Embellished animation unnecessary
60,stdev,2,3,1,4,"I like how the 1st animation shows me both sides of the deviation in a single transition. The 2nd and 3rd transitions make me feel as though the data only affects one side of the deviation, which I know is not true. I chose the 2nd over the 3rd because I felt the step transition made me feel this was less true and that data did contribute to the second half of the deviation. I needed to replay the 4th graph multiple times to understand how it related to the data, which I do not think is very helpful.",bad:only-one-half,bad:only-one-half,,bad:need-to-replay-more,,,Metaphor Unclear
61,stdev,4,3,1,2,"The way the 3rd and 4th charts show one side of the standard deviation before mirroring it across the y-axis doesn't feel like a correct choice for showing the standard deviation. Having the animation in the 1st ranked chart makes it easier to see that the marks are actually at the average, and having both sides of the standard deviation showing in the 2nd ranked chart is better than the 3rd and 4th ranked ones showing one side at a time.",bad:only-one-half,bad:only-one-half,good:showing-the-both,,,,Metaphor Unclear
62,stdev,2,3,1,4,1st is actually my favorite since it shows both sides of s.d. at once and I think the fade is sufficient to show transition. 2nd is good although I think it would be better to display both sides of s.d. at once. 3rd is confusing when the data points merge into one. 4th is simply too abrupt to catch.,bad:only-one-half,"bad:only-one-half, bad:merging",good:showing-the-both,bad:abrupt,,,
63,stdev,3,1,2,4,"1st because attention is drawn to the average before dots disappear and the standard deviation appears. 2nd because you can see the data and the standard deviation at the same time during the fade. 3rd because showing the difference from the average is confusing when only the differences to the average are transformed into only the higher standard deviation and not both. 4th because it is just a hard transition so we aren't aware that there is any mathematics with the data, it might just be a different graph entirely.",bad:only-one-half,good:mark_avg,good:keep-points,,,,Couldn't Follow Complex Animations
64,stdev,3,2,1,4,"No animation is badThe first place animation is clearThe second place one is weird because it starts with only 1 standard deviationThe third place one is too similar to the previous average animation; I can't really discern between the two",bad:only-one-half,bad:only-one-half,,bad:no-animation,,,
65,median,2,1,3,4,"The first one, you could see the different colors split between the first half and the second half, which I thought was really cool and easy to distinguish. The second one was kind of similar but it was little overwhelming with all the transitions, but again, the colors helped. The third one, I wasn't quite sure what was being distilled down into if I didn't know that it was describing median, and the fourth one was just too fast.",bad:too_much,good:separating,bad:hard-to-tell-what-it-is,bad:abrupt,,,Couldn't Follow Complex Animations
66,stdev,2,1,3,4,I liked the first one because you could see how the data points distilled into one another while not being too overwhelming. I liked the second one too but I thought it had too much information. The third and fourth graphs were too fast to realize what was going on.,bad:too_much,good:explanation,bad:hard-to-follow,,,,Embellished animation unnecessary
67,stdev,4,1,2,3,"I like this one the most, but didn't really like that the upper and lower sd were shown separately",bad:show_the_side_separately,,,,,,
68,iqr,2,1,3,4,I appreciate the colorings to partition the quartiles but the rightmost one is too slow.,bad:slow,,,,good:color_quartile,,Animation Should Be Slower
69,median,3,1,2,4,"At first, I did not like the animation I chose 1st, because I did not understand what the animation is trying to show me. Now, I understand the color coding shows you which data points are above the median and which are below, which helps me understand how the median relates to the data points. While I found the use of hue helpful, I still preferred the 2nd graph to the 3rd because I am not a fan of the step transition, especially because it speeds up towards the end, leaving me to replay the animation to understand how the data was transformed. The 4th graph suffers from the same problem of me having to replay the animation multiple times to understand how the median was calculated.",bad:speed_up,good:separating,,bad:hard-to-understand,,,Couldn't Follow Complex Animations
70,median,2,1,3,4,"How well the separation between the dots on either side of the median is shown. The first ranked animation does it effectively, the second one is slightly less effective due to the sudden speedup when dividing the data, and the 3rd and 4th ones don't show the separation well enough.",bad:speed_up,good:separating,,,good:separating,,
71,count,2,1,3,4,Smooth transition evokes bar charts and an actual counting of the dots. Staged animation is confusing when all the dots look the same and move along the same line.,bad:confusing,,,,"good:smooth, good:seems-like-counting",,Couldn't Follow Complex Animations
72,avg,4,3,1,2,The first one is not enough animation and the last two take too long,bad:too_long,bad:too_long,,bad:not-enough-animation,,,Animation Should Be Slower
73,avg,2,1,3,4,I think the lines on the 2nd place one make it too busy for this one. For the first one it's helpful to see the line appear before to know that it's average and not median since it isn't going through a dot or exactly between two dots,bad:too_much,good:avg_line,,,,,Embellished Animation unnecessary
74,avg,3,2,1,4,"The 1st graph shows how the data points contribute to the average in the most straightforward way. I do not like the addition of the line in the 2nd--as I stated before I think it can be misleading due to how common error bars are. The 3rd graph has too many unneeded step transitions. The 4th graph is too much a large change and does not show me how the data points relate to the average, causing me to replay the animation multiple times.",bad:too_much,bad:line-misleading-error?,good:straightforward,,,Understandable,Embellished Animation unnecessary
75,avg,3,2,1,4,Too much going on in 3rd animation. 1st animation was simple. I like simplicity.,bad:too_much,,good:simple,,,,Embellished Animation unnecessary
76,avg,3,1,2,4,"I liked that the top ranked one showed the eventual destination of the points, although the 2nd ranked one was also effective. The 3rd ranked one was unnecessarily complicated, and the 4th one  was too abrupt.",bad:too_much,good:avg_line,,bad:abrupt,,,
77,sum,3,2,1,4,"1st and 2nd have a smooth transition which demonstrate that the sum is being calculated by adding all the values together. However, 3rd has a transition which is too fancy and could distract the reader and 4th just did not have any transition which the reader doesn't know what it is.",bad:too-fancy,good:seems_like_summing,good:seems_like_summing,,,,Embellished Animation unnecessary
78,stdev,3,1,2,4,"1st one shows exactly how we get the data value, the middle slice represents the average. 3rd one the transition is too fancy and distracting. ",bad:too-fancy,good:mark_avg,,,,,
79,iqr,3,1,2,4,"Assigning four colors to each quartile is extremely helpful, however, the last transition is a bit too fast to understand what is going on",bad:too_fast,good:color_quartile,,,,,Couldn't Follow Complex Animations
80,iqr,3,1,2,4,"The top option got the idea across the clearest and at the right speed. This time, the faster, more complicated viz on the right was overly complicated and I picked the fading one before it. The abrupt transition got last place.",bad:too_fast,good:explanation,,bad:abrupt,,,Couldn't Follow Complex Animations
81,median,2,1,3,4,The colors and dividing bar make it clear what is happening (that half the values are on each side). The difference between 1st and 2nd is that 2nd is too long.,bad:too-long,,,,"good:separating, good:line",,Animation Should Be Slower
82,count,2,1,3,4,Leftmost transition was too abrupt. Second from left was smooth but difficult to understand what was going on when dots collapsed at once. Third from left was less staggered than rightmost which had a bit too many transitions that felt distracting,bad:too_much,,bad:collapsing-hard-to-understand,bad:abrupt,,,Couldn't Follow Complex Animations
83,sum,4,2,1,3,"I liked 1 because you could see all the data points coming together (being summed) into one, which was self-explanatory. I didn't like 4 because there was too much graphics/info coming",bad:too_much,,"good:collapsing, good:seems_like_summing",,,,Couldn't Follow Complex Animations
84,sum,3,2,1,4,"I think that the second one is the simplest and most intuitive, the one on the far right is too much animation and the first one is too static.",bad:too_much,,good:intuitive,bad:abrupt,,,Embellished Animation unnecessary
85,iqr,3,1,2,4,"I like how the 1st graph utilizes hue to showcase the various quartiles and how they make up the resulting box plot. The 3rd graph again suffers from too many transitions that speed up too quickly at the end, which cause me to replay the animation again to understand the changes. The 4th animation needed to be replayed multiple times, as the change is immediate and does not show me how the data relates to the resulting box plot.",bad:too_much,good:color_quartile,,bad:need-to-replay-more,,,Couldn't Follow Complex Animations
86,iqr,2,1,3,4,"I prefer the first because as someone who doesn't exactly know what an ""interquartile range"" was, I got to see the animation of how it's calculated. The 2nd one had too much animation concerning the colored data points so it was harder to follow",bad:too_much,good:explanation,,,,Understandable,Measure Was Too Confusing
87,median,2,1,3,4,"The third transition is the best for me because it showcased what the median is, highlighted which elements were higher and lower than that median, than erased all other elements. The last transition did all of these things, but also added a step animation, which I thought was excessive for explaining what the median was, so it is second. The second transition never showed what the median is, it just merged the points to that median, so it is third. The fourth transition was only a static transition with no animations, which did not aid in describing what the median was, so it is last.",bad:too_much,good:separating,bad:hard-to-tell-what-it-is,bad:no-animation,,,Embellished animation unnecessary
88,median,3,1,2,4,The coloring and animation on the rightmost one is too much but the third one is enough and is easier to understand that it is the median.,bad:too_much,,,,,,Embellished Animation Unnecessary
89,median,2,1,3,4,"Animation on 2nd rank was little too much. animation on 1st is simply enough to show that there are about equal number of points.",bad:too_much,good:separating,,,,,Embellished animation unnecessary
90,iqr,2,1,3,4,"once again, animation on 2nd rank plot is little too extra. 1st ranked animation is simply enough to show that there are equal number of points in all 4 segments ",bad:too_much,"good:simple, good:separating",,,,,
91,sum,2,1,3,4,I thought that the visualization of the axis changing helped but the 2nd place one was a bit too much to look at,bad:too_much,good:axis_change,,,,,
92,median,2,1,3,4,Need some transition but having too much makes it confusing as to what is going on exactly.,bad:too_much,,,,,,
93,iqr,2,1,3,4,"Again, I thought the 2nd place one added too much animation without it being helpful. 1st place shows the dots in their respective quartile ranges but doesnt try to get fancy beyond that",bad:too_much,good:separating,,,,,Embellished animation unnecessary
94,sum,3,1,2,4,adding an auxiliary line is a nice feature to have. but I think the 3rd is a little bit too much for my taste.,bad:too_much,,,,good:extra_line,,Embellished Animation Unnecessary
95,iqr,2,1,3,4,"The fourth one had too much movement in addition to a lot of color, so it was confusing",bad:too_much,,,,,,Embellished animation unnecessary
96,median,2,1,4,3,"1st: simple idea. don't need too much animation to split it into two groups. 2nd: good for explaining what a median is. If already familiar with the idea this one is just visual candy that could potentially be distracting. 3rd is pretty typical but ranks above the 4th because the 4th animation is actively distracting, especially if one distribution has an even number of data points while the other is odd.",bad:too_much,good:separating,,,,,Embellished animation unnecessary
97,median,2,1,4,3,"It's nice to see things collapsing, but 2nd has too much stuff going on in my opinion",bad:too_much,,,,,,
98,iqr,2,1,4,3,"2nd has too much going on, 4th looks arbitrary, 1st is animated and not too complex, 3rd without animation is tough to track",bad:too_much,good:simple,bad:arbitrary,bad:no-animation,,,Embellished animation unnecessary
99,sum,3,1,2,4,"4th is because the jump from value to sum is abrupt and doesn't have any clues about the value is jumping to. 3rd is because it feels like there is too much going on. I don't have much of a preference of 1st over 2nd, but even though the motions are similar 1st makes it seem like all the points are being scooped into a new value which makes it seem like it's adding all those values together.",bad:too_much,good:seems_like_adding,,bad:abrupt,,,Couldn't Follow Complex Animations
100,min,1,1,3,2,Same as what I said for the previous max one,,,,,same_as_max,,
101,max,2,2,1,3,the middle graph gradually whites out the other data points which intuitively agrees with how my brain functions to pick the max.,,,"good:fade-out, good:how-my-brain-works",,,Clear metaphor,
102,count,4,3,1,2,The ones I ranked 3rd and 4th seemed unnecessary and detracted from understanding the information,bad:unnecessary,bad:unnecessary,,,,,Embellished Animation unnecessary
103,count,4,3,1,2,"I like the smooth transition from the data in the graph I ranked 1st. The graph I ranked 2nd was not as easily to follow due to the abrupt change. The 3rd and 4th graph seemed misleading to me, as it seems like all the data points from the original graph (before the transition) somehow had to do something with the count, which is simply an aggregation. I picked the 3rd over the 4th because I think the 4th had too many unnecessary step transitions.",bad:unnecessary,bad:unnecessary,good:smooth,bad:abrupt,,,"Animation Should Be Faster, Metaphor Unclear"
104,count,3,4,2,1,"For the first one, it was slow enough so I could see what was happening. I didn't think the fourth one was that good because it's not necessary to plot the points for each count and it confused me",bad:unnecessary,,,good:easier-to-follow,,,Embellished Animation Unnecessary
105,min,2,2,1,3,"Similar to the max graph comparison. In this case, it's very easy to get the minimum but it's just a matter if the transition looks comfortable visually.",,,,,same_as_max,,
106,iqr,2,1,4,3,"The fade-out is once again slow and adds nothing. The color-coding is useful, although I don't think the slower version where they sort themselves adds much value. It's easy enough to get the idea from the distribution of the colors.",bad:unnecessary,good:colors,bad:no-meaning,,,Clear metaphor,Animation Should Be Faster
107,iqr,2,1,3,4,"The third transition came in first because it highlighted different points into different sub-categories, showed the respective values for the plot, and then had a good transition for it which aided in describe interquartile range with median. The last transition came in second because it unnecessarily highlighted the different points in steps rather than all at once, which I thought wasn't necessary, so it became second. The second transition just had the plot show up again with no real prompt or information given unlike the third and last transitions, so it is third place. The first transition had no animation to aid with describing Interquartile Range with Median, so it comes in last.",bad:unnecessary,good:separating,bad:no-meaning,"bad:no-meaning, bad:no-animation",,,
108,max,1,1,2,3,The emphasis on the highest data point with a short line.,,,,,good:extra_line,,
109,min,1,1,2,3,The emphasis on the lowest data point with a short line.,,,,,"good:extra_line, good:highlight",,
110,iqr,2,1,3,4,It is very important to show the different quartiles on the points as different colors.  I don't feel counting out each point in the quartiles adds anything to the visualization except add unnecessary motion to distract the viewer from the data.,bad:unnecessary,good:color_quartile,,,,,
111,max,1,1,2,3,"The first two are either two slow or doesn't show enough, the last one has a good feel to it",,,bad:slow,bad:not-enough,,,
112,iqr,2,1,4,3,"I felt that the colors were helpful in showing the count, so the bar chart animation was unnecessary (which made it my second choice).",bad:unnecessary,good:colors,,,,,
113,count,3,4,1,2,"I think count is a very simple mathematical concept that most people are aware of, simple transition like the 1st one I pick is enough to show, too much animation is kind of redundant.  ",bad:unnecessary,bad:unnecessary,good:simple,,,,Embellished Animation unnecessary
114,min,1,1,2,3,"Same as before, how appealing and how it shows the work done.",,,,,"same_as_max, good:appealing",,
115,max,1,1,2,3,"The line represents ""cap"" in my mind, which is the maximum",,,,,good:extra_line,Clear Metaphor,
116,min,1,1,2,3,"Same reason for max, the line represents the bottom line",,,,,good:extra_line,Clear Metaphor,
117,max,1,1,3,2,The first place is much more clear than the other ones ,,,,,,,
118,min,1,1,3,2,The 1st place graph is much more clear than the other two ,,,,,,,
119,sum,3,1,2,4,there isn't too much information (last one has too many lines that threw me off) ,bad:unnecessary-line,,,,,,
120,sum,3,1,2,4,"(1st) I like how summing animation and zoom out on axis was staggered, making it easier to see. (2nd) It is kind of hard to see, but points converging and axis moving sententiously gives us a sense that they are being added up.(3rd) I really dont see they it is necessary to draw lines down to x axis.",bad:unnecessary-line,"good:seems_like_sum, good:scale_up",good:axis_change,,,,Embellished Animation Unnecessary
121,count,2,1,4,3,"The third one is really clear since it first ""stack"" all the points. The fourth one is similar to the third one, but has some useless and meaningless animation. The second chart's transition looked good, but meaningless, which made it worse than having no transition (which is the first chart)",bad:useless-animation,good:stacking,bad:no-meaning,,,Clear metaphor,Embellished animation unnecessary
122,sum,2,3,1,4,"1st is actually my favorite because merging data points imply to me as a sum operation. 2nd is good as well, since it shows all the data points individually before merging - but what if there are too many data points to list each individually? 3rd's animation doesn't really convey any meaning, in my opinion, rather than serving as a transition for the change of scale for the y-axis. 4th is simply a switch of charts.",bad:what-if-too-many-points?,bad:no-meaning,"good:collapsing, good:seems_like_summing",,,,
123,max,2,2,3,1,"While the one ranked first didn't have anything fancy, looking for max should be simple and this does that",,,,good:simple,,,Embellished Animation Unnecessary
124,min,2,2,3,1,Same ranking as the one before for the same reasons,,,,,same_as_max,,
125,count,2,1,3,4,1st and 2nd were higher than 3rd and 4th because we can see the number of dots lined up nicely making it obvious there was a count. I liked 1st more than 2nd because of the smoother transition. 3rd was higher than 4th because there seems some correlation between first and second graph while in the 4th I wouldn't be able to tell the two charts related if I didn't know they were related already ,good:aligning,,,bad:hard-to-understand,"good:aligning, good:smoother",Clear Metaphor,
126,avg,1,2,3,4,Having a reference point to compare the average to the data points first is important. If the last transition was a bit slower I think it would be even better. ,good:avg_line,good:avg_line,,,,,Animation Should Be Slower
127,avg,1,2,3,4,"I chose #1 and #2 first because I like the line that appears. This shows that the new points are not the same as any of the original points, which differentiates it from an average. I like #1 more than #2 because I think the lines show even more that it is between all the original points. I like #3 more than #4 because the animation did somewhat show that the new points were in the middle of the old points, hinting at an average.","good:avg_line, good:contribution",good:avg_line,good:animation,,,,
128,avg,1,2,3,4,"the added bars show that it's considering the values, which shows average better",good:bars,,,,,,
