id,agg,rank-elaborate,play-elaborate,reset-elaborate,rank-simple,play-simple,reset-simple,rank-baseline,play-baseline,reset-baseline,rank-static,play-static,reset-static,compTime,rationale,gender,education,age,vision_deficiency,vision_impairment_description,familiarity-average,familiarity-average-description,familiarity-interquartile-range,familiarity-interquartile-range-description,familiarity-median,familiarity-median-description,familiarity-standard-deviation,familiarity-standard-deviation-description,familiarity-agg-score,familiarity-stat-tool,familiarity-view-chart,familiarity-create-chart,userID,treatment
3,min,1,0,0,1,1,0,2,1,0,3,1,0,16857,"It's hard to see what to pay attention to when it's near the bottom, so the lines were helpful.",Male,Associate or Bachelors degree,18-24,no,,Know well,Mean of the numbers: sum of numbers / # of numbers,Know well,Range between the 25th percentile and the 75th percentile,Know well,middle number of a sorted set of numbers,Know well,How spread out the data is from the mean.,8,< 1/w,>= 1/d,< 1/w,1AIyH43wdPSSbBFsVfE6n6J0A3P2,simple
4,avg,1,2,1,3,1,0,2,1,0,4,1,0,14521,Knowing that every value is accounted for in the average. ,Male,Associate or Bachelors degree,18-24,no,,Know well,Mean of the numbers: sum of numbers / # of numbers,Know well,Range between the 25th percentile and the 75th percentile,Know well,middle number of a sorted set of numbers,Know well,How spread out the data is from the mean.,8,< 1/w,>= 1/d,< 1/w,1AIyH43wdPSSbBFsVfE6n6J0A3P2,simple
5,median,3,4,3,1,2,1,2,3,2,4,7,7,30061,"What was the least distracting and what made the most sense. It didn't make sense for the median to just appear between them, but the animations of the right-most one were very distracting.",Male,Associate or Bachelors degree,18-24,no,,Know well,Mean of the numbers: sum of numbers / # of numbers,Know well,Range between the 25th percentile and the 75th percentile,Know well,middle number of a sorted set of numbers,Know well,How spread out the data is from the mean.,8,< 1/w,>= 1/d,< 1/w,1AIyH43wdPSSbBFsVfE6n6J0A3P2,simple
6,stdev,1,2,1,2,2,1,3,5,4,4,1,0,22509,What made the most sense for the standard deviation. Being able to see the standard deviation calculation is nice. ,Male,Associate or Bachelors degree,18-24,no,,Know well,Mean of the numbers: sum of numbers / # of numbers,Know well,Range between the 25th percentile and the 75th percentile,Know well,middle number of a sorted set of numbers,Know well,How spread out the data is from the mean.,8,< 1/w,>= 1/d,< 1/w,1AIyH43wdPSSbBFsVfE6n6J0A3P2,simple
7,iqr,2,2,1,1,2,1,3,1,0,4,1,0,18435,What wasn't distracting and made sense for the transition. The partition of the dots were very helpful to group things together. ,Male,Associate or Bachelors degree,18-24,no,,Know well,Mean of the numbers: sum of numbers / # of numbers,Know well,Range between the 25th percentile and the 75th percentile,Know well,middle number of a sorted set of numbers,Know well,How spread out the data is from the mean.,8,< 1/w,>= 1/d,< 1/w,1AIyH43wdPSSbBFsVfE6n6J0A3P2,simple
0,count,2,3,2,1,3,2,3,2,1,4,4,3,23786,The speed at which things are moving is very  important,Female,High school graduate (or equivalent),18-24,no,,Know well,the sum of numbers over the number of numbers,IDK,,Know well,the middle one of the numbers,Know,how much data varies,5,< 1/w,< 1/w,< 1/w,1AVKB4qzGsd4735GM4P4fxVnNCn1,elaborate
1,sum,1,1,1,2,2,1,3,1,0,4,1,0,16880,I like the extra lines that aid me with understanding the data,Female,High school graduate (or equivalent),18-24,no,,Know well,the sum of numbers over the number of numbers,IDK,,Know well,the middle one of the numbers,Know,how much data varies,5,< 1/w,< 1/w,< 1/w,1AVKB4qzGsd4735GM4P4fxVnNCn1,elaborate
2,max,1,0,0,1,2,1,2,3,2,3,1,0,22485,extra lines can really help me with understanding things like this,Female,High school graduate (or equivalent),18-24,no,,Know well,the sum of numbers over the number of numbers,IDK,,Know well,the middle one of the numbers,Know,how much data varies,5,< 1/w,< 1/w,< 1/w,1AVKB4qzGsd4735GM4P4fxVnNCn1,elaborate
3,min,1,0,0,1,1,0,2,1,0,3,1,0,14972,"same with  max, i like extra lines when it comes to max and min",Female,High school graduate (or equivalent),18-24,no,,Know well,the sum of numbers over the number of numbers,IDK,,Know well,the middle one of the numbers,Know,how much data varies,5,< 1/w,< 1/w,< 1/w,1AVKB4qzGsd4735GM4P4fxVnNCn1,elaborate
4,avg,1,1,0,2,1,0,3,1,0,4,1,0,15916,I like extra lines when it comes to understading averge,Female,High school graduate (or equivalent),18-24,no,,Know well,the sum of numbers over the number of numbers,IDK,,Know well,the middle one of the numbers,Know,how much data varies,5,< 1/w,< 1/w,< 1/w,1AVKB4qzGsd4735GM4P4fxVnNCn1,elaborate
5,median,1,1,0,2,1,0,3,1,0,4,1,0,15710,the extra movement is very helpful in terms of the idea of median,Female,High school graduate (or equivalent),18-24,no,,Know well,the sum of numbers over the number of numbers,IDK,,Know well,the middle one of the numbers,Know,how much data varies,5,< 1/w,< 1/w,< 1/w,1AVKB4qzGsd4735GM4P4fxVnNCn1,elaborate
6,stdev,1,1,0,2,2,1,3,1,0,4,1,0,29725,i like extra animation and extra lines in order to understand data,Female,High school graduate (or equivalent),18-24,no,,Know well,the sum of numbers over the number of numbers,IDK,,Know well,the middle one of the numbers,Know,how much data varies,5,< 1/w,< 1/w,< 1/w,1AVKB4qzGsd4735GM4P4fxVnNCn1,elaborate
7,iqr,1,1,0,2,1,0,3,1,0,4,1,0,16351,"The color really helped, so did the lines. I like extra lines",Female,High school graduate (or equivalent),18-24,no,,Know well,the sum of numbers over the number of numbers,IDK,,Know well,the middle one of the numbers,Know,how much data varies,5,< 1/w,< 1/w,< 1/w,1AVKB4qzGsd4735GM4P4fxVnNCn1,elaborate
0,count,2,1,0,1,1,0,4,3,2,3,1,0,30855,I like how they listed every dot in same size intervals ,Female,Associate or Bachelors degree,18-24,no,,IDK,,IDK,,Know,the middle number of the data,Know,the deviation of the numbers in 25% scale,2,< 1/m,< 1/w,< 1/m,1GRWjJwpdGZ1nmZTg2ku6jlfY252,elaborate
1,sum,2,1,0,1,1,0,4,1,0,3,1,0,21489,I like the transformation of getting the answer to the sum,Female,Associate or Bachelors degree,18-24,no,,IDK,,IDK,,Know,the middle number of the data,Know,the deviation of the numbers in 25% scale,2,< 1/m,< 1/w,< 1/m,1GRWjJwpdGZ1nmZTg2ku6jlfY252,elaborate
2,max,2,0,0,2,1,0,1,1,0,3,1,0,23999,I like how it faded to get the maximum because I can tell how they got it,Female,Associate or Bachelors degree,18-24,no,,IDK,,IDK,,Know,the middle number of the data,Know,the deviation of the numbers in 25% scale,2,< 1/m,< 1/w,< 1/m,1GRWjJwpdGZ1nmZTg2ku6jlfY252,elaborate
3,min,2,0,0,2,1,0,1,2,1,3,1,0,4530,I like how it faded to get the minimum because I can tell if it is right,Female,Associate or Bachelors degree,18-24,no,,IDK,,IDK,,Know,the middle number of the data,Know,the deviation of the numbers in 25% scale,2,< 1/m,< 1/w,< 1/m,1GRWjJwpdGZ1nmZTg2ku6jlfY252,elaborate
4,avg,1,1,0,2,1,0,3,1,0,4,1,0,15139,The fourth one can better persuade me that is the average,Female,Associate or Bachelors degree,18-24,no,,IDK,,IDK,,Know,the middle number of the data,Know,the deviation of the numbers in 25% scale,2,< 1/m,< 1/w,< 1/m,1GRWjJwpdGZ1nmZTg2ku6jlfY252,elaborate
5,median,1,1,0,2,1,0,3,1,0,4,1,0,16216,I like how it counted from up and down to get the median ,Female,Associate or Bachelors degree,18-24,no,,IDK,,IDK,,Know,the middle number of the data,Know,the deviation of the numbers in 25% scale,2,< 1/m,< 1/w,< 1/m,1GRWjJwpdGZ1nmZTg2ku6jlfY252,elaborate
6,stdev,2,1,0,3,1,0,1,1,1,4,1,0,32598,It is easier to believe it is one standard deviation from the second graph ,Female,Associate or Bachelors degree,18-24,no,,IDK,,IDK,,Know,the middle number of the data,Know,the deviation of the numbers in 25% scale,2,< 1/m,< 1/w,< 1/m,1GRWjJwpdGZ1nmZTg2ku6jlfY252,elaborate
7,iqr,2,1,0,1,1,0,3,1,0,4,1,0,34579,I don't know what is interquartile Range with Median but I like the third one more,Female,Associate or Bachelors degree,18-24,no,,IDK,,IDK,,Know,the middle number of the data,Know,the deviation of the numbers in 25% scale,2,< 1/m,< 1/w,< 1/m,1GRWjJwpdGZ1nmZTg2ku6jlfY252,elaborate
0,count,4,2,1,1,1,0,2,2,1,3,3,2,21285,How easy it was to follow what was going on,Male,"Some college, no degree",18-24,no,,Know well,Sum all the elements and divide by the number of elements,Know well,Values between 25th and 75th percentile,Know well,Sort the elements and the median is the one in the middle,Know well,A measure of by how much values tend to deviate from the mean,8,< 1/m,< 1/d,< 1/w,1O5JQsliqBPePMCR0TL3xgMPkAj2,simple
1,sum,3,2,1,1,1,0,2,1,0,4,1,0,24601,How easy it was to follow what was going on.  The one I ranked third was cool but kinda confusing,Male,"Some college, no degree",18-24,no,,Know well,Sum all the elements and divide by the number of elements,Know well,Values between 25th and 75th percentile,Know well,Sort the elements and the median is the one in the middle,Know well,A measure of by how much values tend to deviate from the mean,8,< 1/m,< 1/d,< 1/w,1O5JQsliqBPePMCR0TL3xgMPkAj2,simple
2,max,1,0,0,1,1,0,3,2,1,2,1,0,14375,The second one was really slow where the others were fast and clear,Male,"Some college, no degree",18-24,no,,Know well,Sum all the elements and divide by the number of elements,Know well,Values between 25th and 75th percentile,Know well,Sort the elements and the median is the one in the middle,Know well,A measure of by how much values tend to deviate from the mean,8,< 1/m,< 1/d,< 1/w,1O5JQsliqBPePMCR0TL3xgMPkAj2,simple
3,min,1,0,0,1,1,0,3,1,0,2,1,0,17889,Same as what I said for the previous max one,Male,"Some college, no degree",18-24,no,,Know well,Sum all the elements and divide by the number of elements,Know well,Values between 25th and 75th percentile,Know well,Sort the elements and the median is the one in the middle,Know well,A measure of by how much values tend to deviate from the mean,8,< 1/m,< 1/d,< 1/w,1O5JQsliqBPePMCR0TL3xgMPkAj2,simple
4,avg,3,1,1,1,1,0,2,1,0,4,1,0,23838,Seeing the values move made it easier to tell exactly where they were going,Male,"Some college, no degree",18-24,no,,Know well,Sum all the elements and divide by the number of elements,Know well,Values between 25th and 75th percentile,Know well,Sort the elements and the median is the one in the middle,Know well,A measure of by how much values tend to deviate from the mean,8,< 1/m,< 1/d,< 1/w,1O5JQsliqBPePMCR0TL3xgMPkAj2,simple
5,median,2,3,2,1,2,1,3,2,2,4,1,0,64546,You need to be able to see whether or not the transition goes to points in the data set (or equally between two points for a set with even size),Male,"Some college, no degree",18-24,no,,Know well,Sum all the elements and divide by the number of elements,Know well,Values between 25th and 75th percentile,Know well,Sort the elements and the median is the one in the middle,Know well,A measure of by how much values tend to deviate from the mean,8,< 1/m,< 1/d,< 1/w,1O5JQsliqBPePMCR0TL3xgMPkAj2,simple
6,stdev,4,1,0,2,2,1,1,3,2,3,3,2,23277,Movement doesn't really seem necessary for this one -- just makes it harder to follow,Male,"Some college, no degree",18-24,no,,Know well,Sum all the elements and divide by the number of elements,Know well,Values between 25th and 75th percentile,Know well,Sort the elements and the median is the one in the middle,Know well,A measure of by how much values tend to deviate from the mean,8,< 1/m,< 1/d,< 1/w,1O5JQsliqBPePMCR0TL3xgMPkAj2,simple
7,iqr,2,1,0,1,1,0,3,1,0,4,2,1,30253,It is really helpful for them to split vertically so I can see that this is centered on the median,Male,"Some college, no degree",18-24,no,,Know well,Sum all the elements and divide by the number of elements,Know well,Values between 25th and 75th percentile,Know well,Sort the elements and the median is the one in the middle,Know well,A measure of by how much values tend to deviate from the mean,8,< 1/m,< 1/d,< 1/w,1O5JQsliqBPePMCR0TL3xgMPkAj2,simple
0,count,2,3,2,1,3,2,4,1,0,3,4,3,87838,"The way the transition order my first choice makes the most sense since it's just getting a count for the data point. my 2nd choice is doing a similar thing but the animation is a little cranky. My third choice directly shows the result without any transition in between, which i think it's better than the misleading transition that my 4th choice gives.",Female,Associate or Bachelors degree,18-24,no,,Know well,sum of the size elements/size of the set,IDK,,Know well,order all the element in the set and median is either (X_n/2) or (Xn + X_(n+1))/2,Know well,sigma = sqrt(E[x^2]-E[x]^2),6,< 1/d,< 1/d,< 1/w,2wwyu94Sp7ZUATMavwGNoi47W7h2,static
1,sum,1,2,1,4,3,2,3,4,3,2,1,0,51003,"I think besides my the first and the last graph, the transitions in the other two graphs are very misleading and confusing.",Female,Associate or Bachelors degree,18-24,no,,Know well,sum of the size elements/size of the set,IDK,,Know well,order all the element in the set and median is either (X_n/2) or (Xn + X_(n+1))/2,Know well,sigma = sqrt(E[x^2]-E[x]^2),6,< 1/d,< 1/d,< 1/w,2wwyu94Sp7ZUATMavwGNoi47W7h2,static
2,max,2,0,0,2,1,0,1,1,1,3,1,1,63320,the middle graph gradually whites out the other data points which intuitively agrees with how my brain functions to pick the max.,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of the size elements/size of the set,IDK,,Know well,order all the element in the set and median is either (X_n/2) or (Xn + X_(n+1))/2,Know well,sigma = sqrt(E[x^2]-E[x]^2),6,< 1/d,< 1/d,< 1/w,2wwyu94Sp7ZUATMavwGNoi47W7h2,static
3,min,2,0,0,2,1,0,1,1,0,3,2,1,62076,"Similar to the max graph comparison. In this case, it's very easy to get the minimum but it's just a matter if the transition looks comfortable visually.",Female,Associate or Bachelors degree,18-24,no,,Know well,sum of the size elements/size of the set,IDK,,Know well,order all the element in the set and median is either (X_n/2) or (Xn + X_(n+1))/2,Know well,sigma = sqrt(E[x^2]-E[x]^2),6,< 1/d,< 1/d,< 1/w,2wwyu94Sp7ZUATMavwGNoi47W7h2,static
4,avg,3,1,0,2,1,0,1,1,0,4,1,0,33957,Focus if the transition effectively explains how can we get the average of all the datapoints,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of the size elements/size of the set,IDK,,Know well,order all the element in the set and median is either (X_n/2) or (Xn + X_(n+1))/2,Know well,sigma = sqrt(E[x^2]-E[x]^2),6,< 1/d,< 1/d,< 1/w,2wwyu94Sp7ZUATMavwGNoi47W7h2,static
5,median,3,1,0,1,1,0,2,2,1,4,1,0,27636,Transition should show correctly how we count from both sides to get the median.,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of the size elements/size of the set,IDK,,Know well,order all the element in the set and median is either (X_n/2) or (Xn + X_(n+1))/2,Know well,sigma = sqrt(E[x^2]-E[x]^2),6,< 1/d,< 1/d,< 1/w,2wwyu94Sp7ZUATMavwGNoi47W7h2,static
6,stdev,4,1,0,3,2,1,1,2,1,2,1,0,51570,I think it's very hard to visualize the calculation of std so all the transitions attempt to do so makes the graph more confusing.,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of the size elements/size of the set,IDK,,Know well,order all the element in the set and median is either (X_n/2) or (Xn + X_(n+1))/2,Know well,sigma = sqrt(E[x^2]-E[x]^2),6,< 1/d,< 1/d,< 1/w,2wwyu94Sp7ZUATMavwGNoi47W7h2,static
7,iqr,1,2,1,2,1,0,3,1,0,4,1,0,47312,I don't know what's Interquartile Range with Median but I think the last transition effectively shows the process of finding them.,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of the size elements/size of the set,IDK,,Know well,order all the element in the set and median is either (X_n/2) or (Xn + X_(n+1))/2,Know well,sigma = sqrt(E[x^2]-E[x]^2),6,< 1/d,< 1/d,< 1/w,2wwyu94Sp7ZUATMavwGNoi47W7h2,static
0,count,1,1,0,2,1,0,3,1,0,4,1,0,29364,The sense of one by one counting makes it the clearest it is count.,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of numbers divided by count of numbers,Know well,75 quartile - 25 quartile,Know well,middle number of the numbers,Know well,measure of the variations of numbers,8,< 1/d,< 1/d,< 1/w,4iAM2ODyauPYJii7JSNEktcO85Y2,elaborate
1,sum,1,1,0,2,1,0,3,1,0,4,1,0,74868,Showing the gird lines of each data points in the last one makes it clear that we are adding each together.,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of numbers divided by count of numbers,Know well,75 quartile - 25 quartile,Know well,middle number of the numbers,Know well,measure of the variations of numbers,8,< 1/d,< 1/d,< 1/w,4iAM2ODyauPYJii7JSNEktcO85Y2,elaborate
2,max,1,0,0,1,1,0,2,1,0,3,1,0,27843,The emphasis on the highest data point with a short line.,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of numbers divided by count of numbers,Know well,75 quartile - 25 quartile,Know well,middle number of the numbers,Know well,measure of the variations of numbers,8,< 1/d,< 1/d,< 1/w,4iAM2ODyauPYJii7JSNEktcO85Y2,elaborate
3,min,1,0,0,1,1,0,2,1,0,3,1,0,10540,The emphasis on the lowest data point with a short line.,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of numbers divided by count of numbers,Know well,75 quartile - 25 quartile,Know well,middle number of the numbers,Know well,measure of the variations of numbers,8,< 1/d,< 1/d,< 1/w,4iAM2ODyauPYJii7JSNEktcO85Y2,elaborate
4,avg,1,1,0,2,1,0,3,1,0,4,1,0,50470,"In the last one, the grid lines of each data point makes it clear that upper ones hold the same area as the lower ones.",Female,Associate or Bachelors degree,18-24,no,,Know well,sum of numbers divided by count of numbers,Know well,75 quartile - 25 quartile,Know well,middle number of the numbers,Know well,measure of the variations of numbers,8,< 1/d,< 1/d,< 1/w,4iAM2ODyauPYJii7JSNEktcO85Y2,elaborate
5,median,1,1,0,2,1,0,3,1,0,4,1,0,26651,"In the last one, the one by one counting towards the middle part",Female,Associate or Bachelors degree,18-24,no,,Know well,sum of numbers divided by count of numbers,Know well,75 quartile - 25 quartile,Know well,middle number of the numbers,Know well,measure of the variations of numbers,8,< 1/d,< 1/d,< 1/w,4iAM2ODyauPYJii7JSNEktcO85Y2,elaborate
6,stdev,1,1,0,2,1,0,3,1,0,4,1,0,37506,"Based on my previous preference of average, the last one is clear that we are doing things related to average. ",Female,Associate or Bachelors degree,18-24,no,,Know well,sum of numbers divided by count of numbers,Know well,75 quartile - 25 quartile,Know well,middle number of the numbers,Know well,measure of the variations of numbers,8,< 1/d,< 1/d,< 1/w,4iAM2ODyauPYJii7JSNEktcO85Y2,elaborate
7,iqr,1,1,0,2,1,0,3,1,0,4,1,0,25106,"Based on previous preference of median, the last one is clear that it is dealing with median.",Female,Associate or Bachelors degree,18-24,no,,Know well,sum of numbers divided by count of numbers,Know well,75 quartile - 25 quartile,Know well,middle number of the numbers,Know well,measure of the variations of numbers,8,< 1/d,< 1/d,< 1/w,4iAM2ODyauPYJii7JSNEktcO85Y2,elaborate
0,count,1,1,0,2,1,0,3,2,1,4,2,2,17277,How appealing the visualization looks and how it shows the work done.,Male,"Some college, no degree",18-24,no,,Know well,The sum of a list of numbers divided by the length of the list,IDK,,Know well,The number that appears in the middle of a sorted list of numbers,Know well,"How the data deviates from the mean, fluctuation in data",6,< 1/m,< 1/w,< 1/m,4zngDK4R7JbWs5M0tui4mTA4xrh1,elaborate
1,sum,1,1,0,2,1,0,3,1,0,4,2,1,26980,I like how appealing and how it shows the work done.,Male,"Some college, no degree",18-24,no,,Know well,The sum of a list of numbers divided by the length of the list,IDK,,Know well,The number that appears in the middle of a sorted list of numbers,Know well,"How the data deviates from the mean, fluctuation in data",6,< 1/m,< 1/w,< 1/m,4zngDK4R7JbWs5M0tui4mTA4xrh1,elaborate
2,max,1,0,0,1,1,0,2,1,0,3,1,0,16296,"The first two are either two slow or doesn't show enough, the last one has a good feel to it",Male,"Some college, no degree",18-24,no,,Know well,The sum of a list of numbers divided by the length of the list,IDK,,Know well,The number that appears in the middle of a sorted list of numbers,Know well,"How the data deviates from the mean, fluctuation in data",6,< 1/m,< 1/w,< 1/m,4zngDK4R7JbWs5M0tui4mTA4xrh1,elaborate
3,min,1,0,0,1,1,0,2,1,0,3,1,0,6904,"Same as before, how appealing and how it shows the work done.",Male,"Some college, no degree",18-24,no,,Know well,The sum of a list of numbers divided by the length of the list,IDK,,Know well,The number that appears in the middle of a sorted list of numbers,Know well,"How the data deviates from the mean, fluctuation in data",6,< 1/m,< 1/w,< 1/m,4zngDK4R7JbWs5M0tui4mTA4xrh1,elaborate
4,avg,1,1,0,2,1,0,3,1,0,4,1,0,13675,"Same as the others, how appealing and how it shows the work done.",Male,"Some college, no degree",18-24,no,,Know well,The sum of a list of numbers divided by the length of the list,IDK,,Know well,The number that appears in the middle of a sorted list of numbers,Know well,"How the data deviates from the mean, fluctuation in data",6,< 1/m,< 1/w,< 1/m,4zngDK4R7JbWs5M0tui4mTA4xrh1,elaborate
5,median,1,1,0,2,1,0,3,1,0,4,1,0,22451,"The last one is the best since it shows how the work is done, the others are too slow and doesn't feel like much is happening.",Male,"Some college, no degree",18-24,no,,Know well,The sum of a list of numbers divided by the length of the list,IDK,,Know well,The number that appears in the middle of a sorted list of numbers,Know well,"How the data deviates from the mean, fluctuation in data",6,< 1/m,< 1/w,< 1/m,4zngDK4R7JbWs5M0tui4mTA4xrh1,elaborate
6,stdev,1,1,0,2,1,0,4,1,0,3,1,0,27681,"The 3rd and 4th switched here since the 2nd vis seemed like it was making the values up, it didn't look realistic",Male,"Some college, no degree",18-24,no,,Know well,The sum of a list of numbers divided by the length of the list,IDK,,Know well,The number that appears in the middle of a sorted list of numbers,Know well,"How the data deviates from the mean, fluctuation in data",6,< 1/m,< 1/w,< 1/m,4zngDK4R7JbWs5M0tui4mTA4xrh1,elaborate
7,iqr,1,1,0,2,1,0,3,1,0,4,1,0,8385,"Same as before, how appealing and how it shows the work done.",Male,"Some college, no degree",18-24,no,,Know well,The sum of a list of numbers divided by the length of the list,IDK,,Know well,The number that appears in the middle of a sorted list of numbers,Know well,"How the data deviates from the mean, fluctuation in data",6,< 1/m,< 1/w,< 1/m,4zngDK4R7JbWs5M0tui4mTA4xrh1,elaborate
0,count,2,1,0,1,1,0,3,1,0,4,3,3,73576,"the transition animation make the distance between each data point equal, which means that the data point's value would not matter, which means this is the count",Male,High school graduate (or equivalent),18-24,no,,Know well,sum of all data divided by number of data,Know well,"divide data in to four ranges, each one is Interquartile Range",Know well,The data at the center of a list of sorted data,Know well,it measures the variability of a set of data by calculating the distance between every data and mean,8,< 1/m,< 1/w,< 1/m,5A5GBETNqYbAysIG7kt63GROYQ22,simple
