id,animAgg,textAgg,isError,playCount,resetCount,compTime,gender,education,age,vision_deficiency,vision_impairment_description,familiarity-average,familiarity-average-description,familiarity-interquartile-range,familiarity-interquartile-range-description,familiarity-median,familiarity-median-description,familiarity-standard-deviation,familiarity-standard-deviation-description,familiarity-agg-score,familiarity-stat-tool,familiarity-view-chart,familiarity-create-chart,userID,treatment
18,sum,max,FALSE,1,0,4740,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
19,min,min,FALSE,1,0,6494,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
2,stdev,iqr,FALSE,1,0,8818,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
20,max,count,FALSE,1,0,4025,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
21,iqr,iqr,FALSE,1,0,6133,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
22,stdev,iqr,FALSE,1,0,6172,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
23,iqr,stdev,FALSE,1,0,6744,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
24,count,sum,FALSE,1,0,7290,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
25,avg,median,TRUE,1,0,9209,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
26,sum,count,FALSE,2,1,9297,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
27,median,avg,TRUE,2,1,8333,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
28,avg,avg,FALSE,1,0,4193,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
29,sum,sum,FALSE,2,1,9774,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
3,count,sum,FALSE,1,0,9750,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
30,count,count,FALSE,1,0,4324,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
31,max,max,FALSE,1,0,3354,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
32,stdev,stdev,FALSE,1,0,5244,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
33,max,sum,FALSE,1,0,3950,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
34,count,max,FALSE,1,0,11695,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
35,median,median,FALSE,2,1,9000,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
36,stdev,stdev,FALSE,1,0,23394,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
37,median,median,FALSE,1,0,4834,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
38,count,count,FALSE,1,0,5485,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
39,max,count,FALSE,1,0,4203,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
4,sum,sum,FALSE,2,1,11366,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
40,max,max,FALSE,1,0,3287,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
41,sum,count,FALSE,1,0,4154,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
42,count,sum,FALSE,1,0,3964,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
43,max,sum,FALSE,1,0,4372,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
44,iqr,stdev,FALSE,1,0,4545,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
45,count,max,FALSE,1,0,4529,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
46,median,avg,TRUE,3,2,14676,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
47,stdev,iqr,TRUE,3,2,13912,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
48,iqr,iqr,TRUE,1,0,6153,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
49,avg,median,FALSE,3,2,9345,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
5,median,median,TRUE,1,1,7218,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
50,sum,sum,FALSE,1,0,4072,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
51,sum,max,FALSE,1,0,5031,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
52,min,min,FALSE,2,1,5995,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
53,avg,avg,FALSE,2,1,10901,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
54,count,count,FALSE,1,0,5352,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
55,stdev,iqr,TRUE,1,0,5177,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
56,sum,max,FALSE,1,0,3969,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
57,avg,median,TRUE,2,1,5548,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
58,max,count,FALSE,1,0,4199,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
59,median,median,FALSE,1,0,3790,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
6,iqr,stdev,TRUE,1,0,5889,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
60,count,sum,FALSE,1,0,5436,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
61,stdev,stdev,FALSE,1,0,4357,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
62,min,min,FALSE,1,0,3793,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
63,sum,count,FALSE,2,1,9625,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
64,max,sum,FALSE,3,2,95351,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
65,count,max,FALSE,1,0,5881,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
66,max,max,FALSE,1,0,3446,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
67,median,avg,FALSE,1,0,4261,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
68,sum,sum,FALSE,1,1,8066,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
